StudentNo,The Godfather (1972),Taxi Driver (1976),Seinfeld (1989),The GoodFellas (1990),The Shawshank Redemption (1994),Pulp Fiction (1994),Cowboy Bebop (1998),One Piece (1999),Fight Club (1999),Shrek (2001),Zoolander (2001),Spirited Away (2001),The Lord of the Rings: The Return of the King (2003),Arrested Development (2003),The Office (2005),Naruto Shippuden (2007),Transformers (2007),The Dark Knight (2008),Iron Man (2008),Breaking Bad (2008),Despicable Me (2010),How to Train Your Dragon (2010),Hot Tub Time Machine (2010),The Social Network (2010),Inception (2010),Downton Abbey (2010),Black Mirror (2011),The Hunger Games (2012),21 Jump Street (2012),Frozen (2013),The Wolf of Wallstreet (2013),Attack on Titan (2013),The Grandmaster (2013),Boyhood (2014),Interstellar (2014),Guardians of the Galaxy (2014),The Hunger Games: Mockingjay - Part 1 (2014),Mad Max: Fury Road (2015),Fifty Shades of Grey (2015),Minions (2015),Furious 7 (2015),Stranger Things (2016),Zootopia (2016),Deadpool (2016),Moonlight (2016),Get Out (2017),It (2017),Beauty and the Beast (2017),Star Wars: Episode VIII - The Last Jedi (2017),Ozark (2017),Jurassic World: Fallen Kingdom (2018),Black Panther (2018),Deadpool 2 (2018),Burning (2018),Roma (2018),Game Night (2018),Bohemian Rhapsody (2018),1917 (2019),Parasite (2019),Knives Out (2019),Avengers: Endgame (2019),Star Wars: Episode IX - The Rise of Skywalker (2019),The Irishman (2019),The Lion King (2019),Euphoria (2019),Ne Zha (2019),Nomadland (2020),Sonic the Hedgehog (2020),Squid Game (2021),Dune (2021),No Time to Die (2021),"Hi, Mom (2021)",Judas and the Black Messiah (2021),F9 (2021),The Battle of Lake Changjin (2021),Raya and the Last Dragon (2021),The falls (2021),White Lotus (2021),Top gun: Maverick (2022),Inventing Anna (2022),Severance (2022),Avatar: The way of water (2022),M3gan (2022),Spy x Family (2022),House of the dragon (2022),RRR (2022)
2232177,4.277589790681565,4.29315274510642,2.0,4.331654457027987,4.0,4.0,5.0,5.0,4.332998684945584,5.0,4.047316936168281,5.0,4.0,4.0,3.0,5.0,2.0,4.0,1.0,5.0,5.0,5.0,3.8844280894854903,4.229754851984938,4.0,3.96395923278764,4.0,5.0,4.0,3.0,4.0,4.0,4.204398236949906,4.111640646901653,4.0,4.0,5.0,4.120096543355662,3.691875438418108,3.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.163329921809515,4.176449995108308,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.193691849544944,5.0,5.0,4.203579109779549,4.139988200535862,4.018874366113544,5.0,5.0,4.0,4.240134363153621,4.19990975364806,3.8413200851375664,3.5213162117945966,4.0,3.794882000432176,4.0,4.0,3.8691675035563686,4.164415530967102,4.0,5.0,4.0,4.312284880902088,4.200909970524973
1900076,4.0,4.0,2.0,4.065413445898398,4.353072874679395,5.0,2.0,3.0,5.0,4.0,5.0,2.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,2.6190973873570567,3.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,4.017933061108375,3.6538708178114905,3.353895678206969,5.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,3.9268948527001997,3.9832357004578234,3.0767204761989615,3.0,3.0,4.0,3.0,3.0,4.0,3.5210571735463407,3.5634870794697213,2.9549229282874583,3.6191888099391094,5.0,4.427367034647622,4.0,4.0,2.0,3.0,3.0,2.0,3.6512217862103706,3.4455707783733818,3.0,3.0,4.0,4.0,3.769440330142584,3.639355203462482,2.0,1.444804953220702,4.0,2.329508141335968,3.29578504036512,4.0,2.569745130661365,3.5245679995438013,4.0,2.0109572849422808,5.0,5.0,3.6425898735000573
2122557,4.598002461356772,4.732087282167044,3.8821293469781226,5.06380419162784,5.830159864416862,5.400279220826972,5.316435918602846,3.540246841720221,5.075385576147686,4.360463493652517,2.614054324518909,5.727349242073712,5.11699250279217,4.428159258496315,4.0,4.105394829597135,1.8368174492099874,5.157260604325282,4.050464605333892,5.975554387328152,3.0,4.241977750621319,1.2106625761904168,4.185873825076494,5.0395459769005155,1.8958743173154753,4.074570424319358,2.5294820739480413,3.996147037725979,1.7729931000115293,4.617989776075344,4.937311337267962,3.9674103450384486,3.1682442933439496,5.551654998191192,4.210435561356257,1.433962805550678,3.241097257496784,-0.4483018472791591,1.570895310220087,1.549702005846839,3.775384286694509,2.8712590610634994,4.700160301831543,4.694775753609866,4.844873834773996,2.4298197288670558,1.0585180431272314,0.9995673087356534,4.061186911015595,0.7272182493067283,4.2693060886269,4.219072811701916,3.6135805048774623,3.7266183400636086,2.105337954814602,3.875013743997611,5.321511815980618,6.028087501233845,4.979763206346652,4.0,0.1556549519553636,3.8751679598505175,1.980518789685134,2.3428587622426518,3.960353039795514,3.412476625180776,2.369003365358977,4.00671869551023,4.600397318565526,3.0597415032682473,4.275299962116923,3.9287391864134014,0.8392595070373887,-1.9177788318566082,1.858403591688715,0.4391656626096103,3.0134313009514995,4.832413220822616,1.0791828536450536,3.622933723128401,3.578815990189212,-0.4094880975108741,5.014256349510821,4.896922886631896,3.9373566954705574
2072291,3.9910777622023277,3.9860045280376735,4.018163542080142,3.973453684863178,5.0,3.9607228134388763,3.963895109174892,3.0,3.9730154915220894,3.0,4.066142436994636,4.0,2.0,3.9975039507461094,4.02595047420564,4.0,4.0,3.0,4.0,3.9389566984443936,5.0,5.0,4.119241176441724,4.0,3.9743715188356177,4.093315500484587,4.0108823402084415,4.0,4.0138495679809,4.0,5.0,5.0,4.014936849674984,4.045174101678515,3.954995358527989,5.0,4.0,4.042417636446261,5.0,5.0,4.106413278344805,5.0,5.0,5.0,3.9874162472782846,1.0,1.0,5.0,3.0,4.011388718906085,4.0,5.0,5.0,4.028324357841318,4.024047457563572,2.0,4.01843276808145,3.963703057488224,4.0,3.976633460136645,5.0,4.159158451871532,4.0184269331694225,3.0,4.076403394077835,4.015203869922709,4.035933325560083,5.0,4.0,3.99098715036918,4.049279413959547,4.003287536092241,4.016400011887812,4.13329358541612,4.237608906193036,5.0,4.148431538753068,4.051031607079883,3.982208595160911,4.124215844091243,4.027970469413877,4.029639708248383,4.1805412080190445,3.0,3.97976780701982,4.016073959758281
2161163,3.764153670426693,3.7694634359079595,3.735805059982018,3.7825994417941113,3.8129471640281265,3.795923869455298,3.792603670574509,3.7222664960036544,3.7830580651891914,3.0,3.6855892268905346,3.8088758583402322,3.0,3.757427871262206,3.7276550747727804,3.7446463840454345,4.0,2.0,5.0,3.818704794267361,4.0,5.0,3.63001484481702,3.0,3.781638815300986,3.6571492633768394,3.743425736084424,4.0,3.7403201661284724,4.0,3.764945169069974,5.0,3.739182191688443,3.7075351768403437,3.8019183576642632,4.0,3.0,3.710420157794407,3.5643197722714706,5.0,4.0,3.731577950358688,5.0,4.0,3.767985897546876,3.0,3.0,3.0,3.621655461871086,3.742895748301102,3.0,4.0,3.0,3.725170512661872,3.7296468164800185,4.0,3.7355232817549524,3.792804676359654,3.820785108154901,4.0,4.0,3.5882364911466764,3.7355293887102925,3.660501188634691,3.6748498693216067,3.7389027220546454,3.717206789161259,3.675885196887468,5.0,3.764248506889633,2.0,3.7513746356274695,3.7376508119099787,4.0,3.506128411600859,2.0,3.59946352919546,3.7014045747476567,5.0,3.62480824135483,3.7255409005634066,4.0,3.5658567986662013,3.0,3.7759909339303466,3.7379920656913517
2166193,4.857736910843833,4.926379787688138,4.491255531896593,5.096197689712334,5.488522918983631,5.268451445588109,5.0,5.0,5.102126619970646,4.736132108694616,3.842081993311099,5.0,5.123426712883985,4.770788022920948,4.3858952418848425,5.0,5.0,5.0,5.0,5.562955642014659,3.0,5.0,3.123634921057223,4.646753333036561,5.083779030866926,3.4744196323622583,4.589773090348725,4.0,4.549625317952775,3.0,4.867969141266221,5.0,4.534913964011721,4.12579191325971,5.345946189437795,5.0,3.2379503972658994,4.1630879846260695,2.2743509385664886,3.3080511066318348,3.2972014864196018,4.436608868817899,3.9737544148999975,4.910035209935513,4.907278664651645,4.9841193095333995,3.7477656301063123,3.0,3.0,4.582921585085842,2.8761422578995424,5.0,4.663749096885992,4.353775651746103,4.411643814246082,3.5816516559822733,4.48761279697617,5.228127557786788,5.589849245975832,5.053174065056912,5.0,2.0,4.4876917456575685,3.5177522039189073,3.703247161228265,4.531301073814933,4.250823290967962,3.716631530622296,4.555037332518922,4.858962924999998,4.070245404628665,4.692533811948592,4.515116797092419,2.933500236300163,1.5220724400135635,3.4552370105791117,2.728677704388957,4.0465375345278325,5.0,3.0563256883814742,4.358563902978549,4.0,2.2942211030572177,5.0,5.010765104597704,4.519528412138331
1937870,3.666860944301968,5.0,3.34643994882249,5.0,3.0,4.025955751407017,3.9884279356204733,3.1934151592732456,5.0,2.0,2.7788563185981423,4.172350551958142,3.0,3.590840030758922,1.0,3.446372390424356,2.0,4.0,1.0,4.0,2.939608915182175,2.0,2.1507056421512374,5.0,4.0,2.4574027701696353,3.4325755506970514,2.741002229411712,4.0,1.0,5.0,3.81873379105478,3.3846112696126145,3.026908798750003,4.0,1.0,2.250653636209533,4.0,1.0,2.3119438964224104,2.3024578861946483,5.0,2.89397978960206,3.712586249923163,3.0,3.7773592569734693,2.6963938942455195,2.082606559001314,2.056220524076129,3.426585161381304,1.9343185347608023,1.0,1.0,5.0,3.276834049896094,2.5511575793615933,3.34325504280401,4.0,5.0,3.0,1.0,1.6784898452369377,5.0,2.495289185448776,2.657470628468407,3.381452457351162,3.1362258904574554,2.669172813658334,5.0,3.6679328696410365,2.9783435274609236,3.522421023353274,3.3673022648545055,1.9844676053373544,0.750431920270076,2.440631072831782,1.8053877302284367,2.957615327408226,3.7717819524953535,2.0918560181925034,3.2304253672580767,3.2106785048284934,1.4255348244921597,3.8531739689645716,3.800656135533501,3.371159416038405
2131300,3.3321804269204804,3.365313727094027,3.155283156658684,3.4472833032726573,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.495144970357863,3.2303405487488073,3.0,2.664465600119973,4.0,3.0,2.0,4.0,3.0,3.0,3.176356689745853,2.9788771501582287,5.0,3.236409926147554,3.0,2.0,2.0,2.0,2.0,4.0,5.0,3.3574243462028974,3.356093786550808,4.0,2.796407258320488,2.0,2.44298184839128,1.0,2.0,3.0,3.2385442513205858,3.088922853211884,3.116855295538745,2.7162255348744204,3.0,3.510964665734813,3.0,4.0,4.0,2.2344451828060565,3.1535629490473425,1.0,4.0,3.1746127800951003,3.0392286732757117,2.7813791081137773,3.0,2.0,2.9520653493032123,3.252438374766816,3.1668007750715477,1.0,1.7220851443329246,2.0,2.304502668968599,4.0,3.390104970581397,2.462655408247069,3.091234099078674,3.080332297669558,2.0947943693448234,3.435039683779459,3.4060457617047892,3.1689302220336537
2135838,5.0,4.448270440390854,4.06216315799131,3.0,4.947087856002945,4.0,4.7137203581423215,3.9068574428023157,4.0,3.0,3.4861193556687393,4.900384450632777,4.6231199271291965,4.310206168729591,3.9686717593671124,4.163585152161515,4.0,5.0,5.0,5.013135694128697,4.0,5.0,2.848605719221991,4.200144051076757,4.587938577081954,3.159874350622262,4.149582662319779,3.4477010287346266,5.0,2.0,4.0,4.541496821271006,4.100903445055133,3.737869205793456,4.820572469086132,4.0,2.950043497667252,3.7709638553510834,2.094994018425303,3.012247325717068,3.0,5.0,3.6029588105829977,4.0,4.431321068784384,4.0,2.0,2.779491578673474,2.0,4.143502982683016,2.628993233101665,5.0,3.0,3.9401704577384637,3.991519741679615,3.255026631091689,4.058930779051488,4.716026167478445,5.0,4.560781276564797,5.0,2.3693512645722388,4.059000834122926,4.0,3.362924339522407,4.097697548815329,3.848815733869178,3.374800952753173,5.0,4.388448122296753,2.0,4.240767335263751,4.083336439270735,2.679889805447209,1.4274600834220794,3.142852661145275,2.498140638128171,3.66754287398563,5.0,2.7888789065634887,3.944419309982848,3.924378108806236,2.112625798566796,4.576450350547353,4.523149707525955,4.087251083590601
1961788,5.0,4.0,4.0,5.0,5.0,4.0,4.285272189459281,4.030234878265742,4.0,3.0,3.0,4.344273919914431,5.0,4.157727383594834,5.0,4.111382671105193,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,3.794124684433921,5.0,5.0,4.0,2.0,5.0,4.230834902860984,4.091569920094452,3.976820221611315,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.934177061549814,4.0,2.0,5.0,4.0,4.0,2.0,4.105034997405787,4.0,4.0,4.0,4.040764624515742,4.056995365895826,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.090556584196345,4.011888761345561,4.0,4.0,3.0,4.0,4.135778805908521,4.0860172520565525,3.642408741751991,3.2465344207348186,3.7887443827325438,3.5849605457034968,4.0,5.0,3.0,4.0421076232227895,5.0,3.463105065376321,4.241883191180949,5.0,3.0
