1938,272395
1939,286156
1940,391573
1941,461443
1942,401998
1943,313120
1944,240763
1945,297488
1946,446152
1947,480276
1948,420555
1949,277697
1950,357375
1951,331788
1952,420879
1953,332479
1954,320947
1955,359853
1956,300917
1957,403286
1958,416419
1959,345028
1960,256049
1961,281980
1962,286625
1963,278560
1964,344422
1965,317956
1966,340111
1967,366153
1968,341128
1969,507588
1970,384780
1971,405702
1972,394456
1973,398635
1974,366759
1975,425566
1976,507773
1977,366657
1978,394600
1979,276306
1980,207770
1981,232299
1982,247911
1983,185665
1984,216465
1985,296429
1986,370729
1987,468610
1988,411896
1989,373205
1990,296525
1991,226411
1992,219688
1993,259337
1994,208197
1995,189419
1996,272884
1997,360673
1998,248860
1999,306981
2000,401711
2001,867728
2002,870035
2003,921314
2004,846026
2005,570413
2006,493708
2007,275954
2008,518942
2009,480284
2010,809799
2011,677171
2012,589937
2013,1129664
2014,1152642
2015,1337099
2016,697985
2017,488981
2018,336030
2019,381773
2020,535745
2021,489523
